Name,Positions,Playtime,Goals,Assists,ShotsAveragePerGame,PassSuccess
Raúl Albiol,",  D(C)  ",1160	,-	,-	,0.1	,88.5	
Junya Ito,",  AM(LR),FW  ",915	,4	,1	,1.3	,68.4	
Trent Alexander-Arnold,",  D(R),M(R)  ",994	,1	,-	,1	,77.5	
Jesper Lindstrøm,",  AM(CR),FW  ",921	,6	,-	,2.2	,69.3	
Manuel Neuer,",  GK  ",1080	,-	,-	,0.2	,87	
Philipp Hofmann,",  FW  ",1063	,4	,1	,1.3	,60.6	
Marko Arnautovic,",  AM(CLR),FW  ",1106	,8	,-	,1.8	,72.1	
Valentin Rongier,",  D(R),M(C)  ",1087	,-	,-	,0.5	,89	
Luigi Sepe,",  GK  ",1350	,-	,-	,-	,63.4	
Ermedin Demirovic,",  AM(L),FW  ",1152	,5	,2	,2.2	,47.7	
Matthijs de Ligt,",  D(C)  ",768	,1	,-	,0.4	,91.9	
Edgar González,",  D(C),DMC  ",844	,-	,-	,0.2	,88.8	
Georginio Rutter,",  FW  ",1010	,2	,2	,1.8	,63.9	
Danilo Pereira,",  D(C),DMC  ",688	,1	,-	,0.7	,93.4	
Mario Götze,",  M(CLR),FW  ",1254	,2	,1	,1	,77.9	
Jonathan Gradit,",  D(CR)  ",799	,-	,2	,-	,91.6	
Mërgim Berisha,",  AM(C),FW  ",790	,3	,4	,2.2	,50.4	
Morten Hjulmand,",  DMC  ",1175	,-	,2	,0.4	,76.9	
Matteo Politano,",  AM(CLR),FW  ",607	,3	,3	,1.4	,79.4	
Tammy Abraham,",  FW  ",1049	,3	,1	,2.3	,74.3	
Armel Bella-Kotchap,",  D(C)  ",906	,-	,1	,0.9	,76.6	
Ridle Baku,",  D(R),M(CR)  ",1282	,3	,1	,1.1	,78.5	
Angeliño,",  D(L),M(L)  ",1175	,-	,3	,0.7	,69	
Sven Botman,",  D(C)  ",1059	,-	,-	,0.5	,85.7	
